country,file,m15_rule,skilled_rule
Ethiopia,ETIR8AFL.dta,"facility labels only: hospital, health centre/center/post, clinic, dispensary, polyclinic, maternity home, medical sector, CHPS or outreach; home/TBA/transit excluded; other/headers unclassified","assistant label contains doctor, nurse, midwife, health officer, clinical officer or medical assistant"
Ghana,GHIR8CFL.DTA,"facility labels only: hospital, health centre/center/post, clinic, dispensary, polyclinic, maternity home, medical sector, CHPS or outreach; home/TBA/transit excluded; other/headers unclassified","assistant label contains doctor, nurse, midwife, health officer, clinical officer or medical assistant"
Kenya,KEIR8CFL.DTA,"facility labels only: hospital, health centre/center/post, clinic, dispensary, polyclinic, maternity home, medical sector, CHPS or outreach; home/TBA/transit excluded; other/headers unclassified","assistant label contains doctor, nurse, midwife, health officer, clinical officer or medical assistant"
Tanzania,TZIR82FL.DTA,"facility labels only: hospital, health centre/center/post, clinic, dispensary, polyclinic, maternity home, medical sector, CHPS or outreach; home/TBA/transit excluded; other/headers unclassified","assistant label contains doctor, nurse, midwife, health officer, clinical officer or medical assistant"
Uganda,UGIR7BFL.DTA,"facility labels only: hospital, health centre/center/post, clinic, dispensary, polyclinic, maternity home, medical sector, CHPS or outreach; home/TBA/transit excluded; other/headers unclassified","assistant label contains doctor, nurse, midwife, health officer, clinical officer or medical assistant"
