country,source_type,survey_year_start,survey_year_end,women_n,recent_births_n,anc1_rate,anc4_rate,early_anc_rate,institutional_delivery_rate,cesarean_rate,tba_rate,skilled_birth_attendance_rate,female_secondary_plus_rate,insurance_coverage_rate,permission_barrier_rate,money_barrier_rate,distance_barrier_rate,weighted,weight_variable,reference_period_births_months
Ethiopia,EMPIRICAL_DHS,2024,2025,21395,13460,0.7770396752651272,0.5252270449628758,0.4364600385038161,0.5967930110308624,0.07872627085332452,0.29929673799063883,0.6200568834066215,0.28251607867604556,0.4566627283229555,0.1774432734985849,0.5283850038392057,0.39825814316606717,True,v005,59
Ghana,EMPIRICAL_DHS,2022,2023,15014,9290,0.9818491605580607,0.8848220368293279,0.6481782822369616,0.8624377662557501,0.20422107348659338,0.0811432948749705,0.8674977112719688,0.701525975264768,0.9013192209161688,0.09889987526001774,0.4466190002075176,0.22336855215498475,True,v005,59
Kenya,EMPIRICAL_DHS,2022,2022,32156,19385,0.980278971884291,0.6723159934858196,0.3075655604877796,0.881726782320524,0.16757316633693617,0.07020581239532507,0.8901160952572889,0.5815235504381893,,0.04991592036458875,0.459837499691434,0.23680212368572412,True,v005,59
Tanzania,EMPIRICAL_DHS,2022,2022,15254,10708,0.8961209858146372,0.6521630930558884,0.381010950909808,0.8062685800002141,0.10589182991547534,0.058836402093993455,0.7585202286425845,0.30684736121440137,0.058186904493827296,0.07204740379373785,0.36245184117214235,0.28796760167101,True,v005,59
Uganda,EMPIRICAL_DHS,2016,2016,18506,15442,0.9808605338631299,0.6022137231070852,0.29548357012205123,0.7438143172255477,0.06207427153439046,0.10840744054046682,0.7417011454281028,0.3293388166091099,0.013808242468068591,0.05396145637750221,0.44674347836542816,0.37366653133598265,True,v005,59
