scenario,cumulative_births,cumulative_maternal_deaths,horizon_mmr,deaths_avoided,mortality_reduction_percent,total_cost_usd,incremental_cost_usd
baseline,3297466.2503725835,15554.396529610302,471.70752779813284,0.0,0,0.0,0.0
scenario_a,3297628.809946183,8684.791856676584,263.36474955828396,6869.604672933718,44.16503501023854,113383920.14999999,113383920.14999999
scenario_b,3298961.846816082,10457.706625997333,316.9999263886713,5096.689903612969,32.766876515656506,218948259.6,218948259.6
scenario_c,3298364.493651464,13276.521141081575,402.51831374717966,2277.875388528727,14.644575790468139,74286016.65,74286016.65
scenario_d,3299581.0949228504,3977.5170932640763,120.54612324529266,11576.879436346226,74.42834194375698,406618196.40000004,406618196.40000004
